STT,SoNguoiNhiem,TuVong,AmTinh
1,0,0,0
2,3,0,0
3,4,0,0
4,4,0,0
5,4,0,0
6,7,0,0
7,8,0,0
8,8,0,0
9,8,0,0
10,8,0,0
11,8,0,0
12,10,0,0
13,12,0,0
14,12,0,0
15,12,0,1
16,16,0,1
17,16,0,1
18,18,0,1
19,18,0,3
20,18,0,3
21,19,0,3
22,19,0,3
23,22,0,7
24,22,0,7
25,22,0,7
26,22,0,13
27,22,0,15
28,22,0,15
29,22,0,15
30,22,0,15
31,22,0,15
32,22,0,18
33,22,0,18
34,22,0,18
35,23,0,18
36,23,0,18
37,25,0,18
38,29,0,18
39,29,0,18
40,36,0,22
41,50,0,22
42,50,0,22
43,83,0,22
44,93,0,23
45,99,0,24
46,117,0,24
47,129,0,24
48,149,0,26
49,149,0,26
50,197,0,26
51,238,0,35
52,428,0,42
53,566,0,42
54,673,2,49
55,790,2,60
56,900,2,75
57,1030,3,87
58,1183,4,114
59,1306,10,139
60,1518,14,159
61,1624,16,183
62,1796,20,199
63,2031,23,215
64,2161,26,259
65,2320,27,320
66,2470,35,388
67,2626,37,479
68,2766,43,537
69,2908,45,645
70,3116,50,767
71,3333,53,827
72,3483,57,915
73,3662,61,1005
74,3793,62,1241
75,3963,63,1321
76,4119,65,1487
77,4228,67,1608
78,4346,70,1830
79,4530,73,1995
80,4683,76,2108
81,4817,77,2276
82,4987,82,2478
83,5072,83,2647
84,5182,84,2766
85,5251,86,2967
86,5305,88,3102
87,5389,89,3197
88,5425,89,3295
89,5482,92,3349
90,5532,93,3452
91,5603,95,3542
92,5691,96,3663
93,5742,98,3762
94,5780,98,3862
95,5820,99,3957
96,5851,100,4032
97,5945,100,4087
98,6002,102,4171
99,6071,103,4210
100,6176,103,4326
101,6298,105,4413
102,6353,105,4484
103,6383,106,4567
104,6428,107,4702
105,6467,107,4776
106,6535,107,4864
107,6589,108,4929
108,6656,108,5025
109,6726,109,5113
110,6742,109,5223
111,6779,111,5281
112,6819,112,5351
113,6855,112,5439
114,6872,113,5512
115,6894,113,5571
116,6941,113,5615
117,6978,114,5646
118,7009,114,5706
119,7059,114,5796
120,7137,115,5859
121,7185,115,5912
122,7245,115,5945
123,7417,115,5979
124,7604,115,6041
125,7619,115,6083
126,7629,115,6169
127,7732,115,6235
128,7762,115,6330
129,7819,115,6353
130,7857,115,6404
131,7877,115,6470
132,7970,115,6531
133,8247,115,6559
134,8266,116,6610
135,8303,117,6635
136,8322,117,6674
137,8329,117,6694
138,8336,117,6975
139,8338,118,7014
140,8369,118,7065
141,8402,119,7168
142,8445,120,7311
143,8453,121,7346
144,8494,121,7400
145,8505,121,7733
146,8515,121,7873
147,8529,121,8000
148,8535,121,8070
149,8556,121,8146
150,8572,121,8156
151,8587,121,8177
152,8590,121,8186
153,8596,121,8231
154,8600,121,8271
155,8606,121,8294
156,8616,121,8308
157,8634,121,8318
158,8637,121,8334
159,8639,121,8354
160,8640,121,8375
161,8643,121,8437
162,8648,121,8446
163,8658,121,8461
164,8663,121,8465
165,8668,121,8476
166,8674,121,8481
167,8677,121,8486
168,8683,121,8499
169,8696,121,8511
170,8704,122,8515
171,8718,122,8519
172,8725,122,8520
173,8729,122,8524
174,8734,122,8526
175,8737,122,8538
176,8755,122,8541
177,8764,122,8546
178,8779,123,8553
179,8800,123,8555
180,8815,123,8562
181,8831,123,8566
182,8840,123,8574
183,8861,123,8577
184,8884,123,8594
185,8897,124,8600
186,8904,124,8601
187,8943,124,8607
188,8956,124,8612
189,8964,124,8617
190,8976,125,8644
191,8985,125,8647
192,8999,125,8664
193,9001,125,8668
194,9002,125,8684
195,9023,125,8702
196,9038,125,8713
197,9063,125,8728
198,9070,125,8775
199,9083,125,8784
200,9094,125,8803
201,9103,125,8809
202,9114,125,8817
203,9129,125,8821
204,9149,125,8828
205,9175,125,8831
206,9200,125,8859
207,9212,125,8876
208,9219,125,8902
209,9235,125,8925
