STT,SoNguoiNhiem,TuVong,AmTinh
1,1,0,0
2,3,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,7,0,0
7,7,0,0
8,10,0,0
9,13,0,0
10,16,0,0
11,18,0,0
12,18,0,0
13,24,0,0
14,28,0,0
15,28,0,0
16,30,0,0
17,33,0,2
18,40,0,2
19,45,0,2
20,47,0,9
21,50,0,15
22,58,0,15
23,67,0,17
24,72,0,18
25,75,0,18
26,77,0,24
27,81,0,29
28,84,0,34
29,84,0,34
30,85,0,37
31,85,0,37
32,89,0,51
33,89,0,51
34,91,0,53
35,93,0,62
36,93,0,62
37,93,0,62
38,102,0,72
39,106,0,72
40,108,0,78
41,110,0,78
42,110,0,78
43,117,0,78
44,130,0,78
45,138,0,78
46,150,0,78
47,150,0,78
48,160,0,78
49,178,0,96
50,178,0,96
51,200,0,97
52,212,0,105
53,226,0,105
54,243,0,109
55,266,0,114
56,313,0,114
57,345,0,114
58,385,0,124
59,432,2,140
60,455,2,144
61,509,2,152
62,558,2,156
63,631,2,160
64,683,2,172
65,732,2,183
66,802,2,198
67,844,3,212
68,879,3,228
69,926,3,240
70,1000,3,245
71,1049,4,266
72,1114,5,282
73,1189,6,297
74,1309,6,320
75,1375,6,344
76,1481,6,377
77,1623,6,406
78,1910,6,460
79,2108,7,492
80,2299,8,528
81,2532,8,560
82,2918,9,586
83,3252,10,611
84,3699,10,652
85,4427,10,683
86,5050,11,708
87,5992,11,740
88,6588,11,768
89,8014,11,801
90,9125,11,839
91,10141,12,896
92,11178,12,924
93,12075,12,956
94,12693,12,1002
95,13624,12,1060
96,14423,14,1095
97,14951,14,1128
98,15641,14,1188
99,16169,15,1244
100,17101,16,1268
101,17548,17,1347
102,18205,18,1408
103,18778,18,1457
104,19410,18,1519
105,20198,20,1634
106,20939,20,1712
107,21707,20,2040
108,22460,20,2296
109,23336,20,2721
110,23822,21,3225
111,24671,21,3851
112,25346,21,4809
113,26098,21,5973
114,26891,21,7248
115,27356,22,8342
116,28038,22,9340
117,28343,22,9835
118,28794,22,10365
119,29364,22,11207
120,29812,23,12117
121,30426,23,12995
122,31068,23,13882
123,31616,23,14876
124,31960,23,15738
125,32343,23,16444
126,32876,23,17276
127,33249,23,18294
128,33860,23,19631
129,34366,23,20727
130,34884,23,21699
131,35292,24,22466
132,35836,24,23175
133,36405,24,23582
134,36922,24,23904
135,37183,24,24209
136,37527,25,24559
137,37910,25,24886
138,38296,25,25368
139,38514,25,25877
140,38965,25,26532
141,39387,25,27286
142,39850,25,28040
143,40197,26,28808
144,40604,26,29589
145,40818,26,30366
146,40969,26,31163
147,41216,26,31938
148,41473,26,32712
149,41615,26,33459
150,41833,26,34224
151,42095,26,34942
152,42313,26,35590
153,42432,26,35995
154,42623,26,36299
155,42736,26,36604
156,42955,26,36825
157,43246,26,37163
158,43459,26,37508
159,43661,26,37985
160,43907,26,38500
161,44122,26,39011
162,44310,26,39429
163,44479,26,39769
164,44664,26,40117
165,44800,26,40441
166,44983,26,40717
167,45140,26,41002
168,45298,26,41323
169,45423,26,41645
170,45614,26,41780
171,45783,26,42026
172,45961,26,42285
173,46283,26,42541
174,46630,27,42737
175,46878,27,42988
176,47126,27,43256
177,47453,27,43577
178,47655,27,43833
179,47912,27,44086
180,48035,27,44371
181,48434,27,44584
182,48744,27,44795
183,49098,27,45015
184,49375,27,45172
185,49888,27,45352
186,50369,27,45521
187,50838,27,45692
188,51197,27,45893
189,51531,27,46098
190,51809,27,46308
191,52205,27,46491
192,52512,27,46740
193,52825,27,46926
194,53051,27,47179
195,53346,27,47454
196,54254,27,47768
197,54555,27,48031
198,54797,27,48312
199,54929,27,48583
200,55104,27,48915
201,55292,27,49609
202,55353,27,50128
203,55395,27,50520
204,55497,27,50736
205,55580,27,51049
206,55661,27,51521
207,55747,27,51953
208,55838,27,52350
209,55938,27,52533
210,56031,27,52810
211,56099,27,53119
212,56216,27,53651
213,56266,27,53920
214,56353,27,54164
215,56404,27,54587
216,56435,27,54816
217,56495,27,54971
218,56572,27,55139
219,56666,27,55337
220,56717,27,55447
221,56771,27,55586
222,56812,27,55658
223,56852,27,55749
224,56860,27,55891
225,56908,27,56028
226,56948,27,56174
227,56982,27,56267
228,57022,27,56333
229,57044,27,56408
230,57091,27,56461
231,57166,27,56492
232,57229,27,56558
233,57315,27,56607
234,57357,27,56699
235,57406,27,56764
236,57454,27,56802
237,57488,27,56884
238,57514,27,56955
239,57532,27,57039
240,57543,27,57071
241,57558,27,57142
242,57576,27,57181
243,57606,27,57241
244,57627,27,57262
245,57639,27,57291
246,57654,27,57333
247,57665,27,57341
248,57685,27,57359
249,57700,27,57367
250,57715,27,57393
251,57742,27,57466
252,57765,27,57488
253,57784,27,57512
254,57794,27,57534
255,57800,27,57562
256,57812,27,57575
257,57819,27,57597
258,57830,27,57612
259,57840,27,57624
260,57849,27,57668
261,57859,27,57675
262,57866,27,57698
263,57876,27,57705
264,57880,28,57728
265,57884,28,57740
266,57889,28,57752
267,57892,28,57764
268,57901,28,57784
269,57904,28,57798
270,57911,28,57807
271,57915,28,57819
272,57921,28,57819
273,57933,28,57821
274,57941,28,57829
275,57951,28,57832
276,57965,28,57844
277,57970,28,57858
278,57973,28,57879
279,57980,28,57883
280,57987,28,57890
281,57994,28,57899
282,58003,28,57909
283,58015,28,57913
284,58019,28,57924
285,58020,28,57924
286,58029,28,57937
287,58036,28,57938
288,58043,28,57949
289,58047,28,57959
290,58054,28,57968
291,58056,28,57975
292,58064,28,57981
293,58073,28,57985
294,58091,28,57990
295,58102,28,58002
296,58114,28,58008
297,58116,28,58019
298,58119,28,58029
299,58124,28,58033
300,58130,28,58039
301,58135,28,58046
302,58139,28,58052
303,58143,28,58058
304,58148,28,58064
305,58160,28,58067
306,58165,28,58071
307,58183,28,58079
308,58190,28,58091
309,58195,28,58104
310,58199,28,58111
311,58205,29,58119
312,58213,29,58124
313,58218,29,58134
314,58228,29,58139
315,58230,29,58144
316,58239,29,58145
317,58242,29,58152
318,58255,29,58158
319,58260,29,58160
320,58273,29,58168
321,58285,29,58176
322,58291,29,58182
323,58297,29,58188
324,58305,29,58192
325,58313,29,58197
326,58320,29,58208
327,58325,29,58210
328,58341,29,58233
329,58353,29,58238
330,58377,29,58252
331,58386,29,58265
332,58403,29,58274
333,58422,29,58279
334,58432,29,58287
335,58461,29,58304
336,58482,29,58322
337,58495,29,58332
338,58509,29,58352
339,58519,29,58362
340,58524,29,58370
341,58529,29,58386
342,58542,29,58400
343,58569,29,58411
344,58599,29,58449
345,58629,29,58449
346,58662,29,58476
347,58697,29,58487
348,58721,29,58497
349,58749,29,58517
350,58780,29,58541
351,58813,29,58562
352,58836,29,58580
353,58865,29,58611
354,58907,29,58636
355,58929,29,58668
356,58946,29,58694
357,58984,29,58722
358,59029,29,58757
359,59059,29,58771
360,59083,29,58784
361,59113,29,58846
362,59127,29,58868
363,59157,29,58894
364,59197,29,58926
365,59235,29,58959
366,59250,29,58983
367,59260,29,59015
368,59308,29,59041
369,59352,29,59066
370,59366,29,59086
371,59391,29,59104
372,59425,29,59148
373,59449,29,59181
374,59507,29,59196
375,59536,29,59228
376,59565,29,59271
377,59584,29,59301
378,59602,29,59320
379,59624,29,59348
380,59649,29,59373
381,59675,29,59405
382,59699,29,59433
383,59721,29,59484
384,59732,29,59506
385,59747,29,59526
386,59759,29,59558
387,59777,29,59569
388,59786,29,59604
389,59800,29,59621
390,59809,29,59641
391,59810,29,59661
392,59821,29,59676
393,59832,29,59679
394,59846,29,59697
395,59858,29,59719
396,59869,29,59731
397,59879,29,59746
398,59883,29,59753
399,59890,29,59761
400,59900,29,59785
401,59913,29,59803
402,59925,29,59816
403,59936,29,59823
404,59948,29,59830
405,59956,29,59842
406,59979,29,59849
407,59998,29,59857
408,60007,29,59870
409,60020,29,59879
410,60033,29,59894
411,60046,29,59900
412,60052,29,59905
413,60062,29,59911
414,60070,29,59939
415,60080,29,59950
416,60088,30,59961
417,60105,30,59968
418,60117,30,59974
419,60128,30,59984
420,60137,30,60001
421,60152,30,60014
422,60167,30,60019
423,60184,30,60022
424,60196,30,60038
425,60208,30,60051
426,60221,30,60063
427,60236,30,60078
428,60253,30,60086
429,60265,30,60103
430,60288,30,60113
431,60300,30,60122
432,60321,30,60131
433,60347,30,60138
434,60381,30,60149
435,60407,30,60161
436,60450,30,60176
437,60468,30,60185
438,60478,30,60202
439,60495,30,60214
440,60519,30,60239
441,60554,30,60260
442,60575,30,60284
443,60601,30,60304
444,60633,30,60322
445,60653,30,60335
446,60678,30,60357
447,60692,30,60374
448,60719,30,60392
449,60735,30,60417
450,60769,30,60446
451,60808,30,60463
452,60831,30,60485
453,60851,30,60503
454,60865,30,60540
455,60880,30,60576
456,60904,30,60603
457,60943,30,60613
458,60966,30,60629
459,61006,30,60662
460,61051,30,60682
461,61063,30,60704
462,61086,30,60718
463,61121,30,60718
464,61145,30,60751
465,61179,31,60765
466,61218,31,60786
467,61235,31,60806
468,61252,31,60823
469,61268,31,60844
470,61286,31,60873
471,61311,31,60906
472,61331,31,60912
473,61359,31,60933
474,61378,31,60953
475,61403,31,60975
476,61419,31,61006
477,61453,31,61029
478,61505,31,61047
479,61536,31,61062
480,61585,31,61104
481,61613,31,61123
482,61651,31,61134
483,61689,31,61183
484,61730,32,61229
485,61770,32,61242
486,61799,32,61277
487,61824,32,61294
488,61860,32,61316
489,61890,32,61329
490,61916,32,61360
491,61940,32,61372
492,61970,32,61407
493,62003,32,61423
